id,slug,parent_id,icon,order,sale_only,applicable_to
01K7CT80ZT6V6M8QZY0CRBTJYC,non-fiction,01K7CT80ZS1GZPJN0A7QMCH6KG,📖,0,false,market
01K7CT80ZT87KKTN91MY5P8CG9,textbooks,01K7CT80ZS1GZPJN0A7QMCH6KG,📚,0,false,market
01K7CT80ZVBENDHDBP1SYZ7Q93,children-books,01K7CT80ZS1GZPJN0A7QMCH6KG,📚,0,false,market
01K7CT80ZVVPM721TD445VWST3,comics,01K7CT80ZS1GZPJN0A7QMCH6KG,📖,0,false,market
01K7CT80ZWMG9PKV4GZ4JBJK7X,magazines,01K7CT80ZS1GZPJN0A7QMCH6KG,📰,0,false,market
01K7CT80ZWVZ5BK299S86N2DKR,photo-video,01K7CT80TJSWRN85NZVY8H1P0V,📷,0,false,market
01K7CT80ZX61AV221ZWN6TMSEX,lenses,01K7CT80ZWVZ5BK299S86N2DKR,📸,0,false,market
01K7CT80ZY12P8H96RDSDVV9RR,video-cameras,01K7CT80ZWVZ5BK299S86N2DKR,📷,0,false,market
01K7CT80ZYBHH49SXX1DCYDHJ2,action-cameras,01K7CT80ZWVZ5BK299S86N2DKR,📷,0,false,market
01K7CT80ZZD9DWX3GG2F2KBM35,drones,01K7CT80ZWVZ5BK299S86N2DKR,🚁,0,false,market
01K7CT80ZZPCKEPGTXD0E2Z93G,photo-accessories,01K7CT80ZWVZ5BK299S86N2DKR,📷,0,false,market
01K7CT80ZZV3NJM19NYEFTV7DS,tripods-gimbals,01K7CT80ZWVZ5BK299S86N2DKR,⚖️,0,false,market
01K7CT8100A71RZYJ8VT9R33FP,vegetables-fruits,01K7CT8100XBNR36NJ53KVQQR9,🍎,0,true,market
01K7CT8100XBNR36NJ53KVQQR9,food,01K7M9YVK4G7MYJBP0G4QYQDQQ,🍎,8,true,market
01K7CT81011NDYMGQ52XH68D1N,fruits,01K7CT8100A71RZYJ8VT9R33FP,🍎,0,true,market
01K7CT8101BY01YTFCXE5TSKR2,vegetables,01K7CT8100A71RZYJ8VT9R33FP,🥕,0,true,market
01K7CT8102MH7N04NB6CGPCRPB,berries,01K7CT8100A71RZYJ8VT9R33FP,🍓,0,true,market
01K7CT8103CMG7Q2MFF8Q2YMKB,greens,01K7CT8100A71RZYJ8VT9R33FP,🥬,0,true,market
01K7CT81045QKMVPAEJTPANWGQ,dairy,01K7CT8100XBNR36NJ53KVQQR9,🥛,0,true,market
01K7CT81046EY4GZNSV5KX8TYC,mushrooms,01K7CT8100A71RZYJ8VT9R33FP,🍄,0,true,market
01K7CT8104SNSS5KCEJHT25GB2,milk,01K7CT81045QKMVPAEJTPANWGQ,🥛,0,true,market
01K7CT8105EAF34E5Q205X5RDD,cheese,01K7CT81045QKMVPAEJTPANWGQ,🧀,0,true,market
01K7CT8105SS4K4P8MHQ7JKH2H,yogurt,01K7CT81045QKMVPAEJTPANWGQ,🥛,0,true,market
01K7CT8106PMW79ZENZR9J0HDR,cottage-cheese,01K7CT81045QKMVPAEJTPANWGQ,🧀,0,true,market
01K7CT8106W1ZF1A4MDC9XF3C5,butter,01K7CT81045QKMVPAEJTPANWGQ,🧈,0,true,market
